,46571
 2809,1
 delacruzmora@gmail.com,4
00000,17
000000,8
00188,31
00718,6
00976,22
01015,23
02001,49
02004,8
02651,1
03-749,14
03002,14
03005,6
03012,1
03070,34
03160,1
03440,4
03530,11
03540,10
03610,2
03650,4
03660,1
03680,12
03690,3
03700,8
04450,3
04620,3
04720,1
05230,3
05240,9
05260,24
05429,1
06001,5
06011,33
06220,19
06300,14
06400,2
06610,2
06700,16
06800,28
06930,1
07001,5
07002,4
07003,27
07012,2
07013,17
07014,13
07015,2
07110,22
07180,8
07760,2
07816,20
07960,38
08002,1
08004,1
08005,10
08006,5
08007,12
08012,5
08015,22
08024,14
08027,10
08030,4
08035,2
08092,3
08185,1
08197,3
08230,1
08760,13
08980,29
09006,4
09007,4
09200,26
09400,3
09443,1
10001,7
10004,22
10005,2
10024,6
10128,18
10600,61
10800,45
11004,2
11007,10
11009,4
11130,27
11159,4
11207,10
11351,1
11403,10
11500,67
11550,2
12028,9
12059,14
12345,12
12600,12
13001,30
13003,6
13004,11
13005,15
13170,38
13303,32
13600,2
13610,43
13700,1
14005,5
14012,22
14400,4
14532,1
14920,6
15005,41
15006,2
15220,4
15402,10
16002,3
16004,3
16160,10
16400,4
18006,34
18012,2
18014,4
18026,14
18100,3
18110,16
18600,3
18660,5
19001,1
19002,22
19004,3
19170,2
19200,8
19802,2
2,16
20002,6
20005,70
20008,14
20009,26
20012,20
20014,2
20017,2
20018,6
20028,2
2003,11
20036,30
20043,25
20046,1
20048,21
2007,5
2008,2
20092,3
20099,3
20110,19
20180,3
20300,20
20540,1
20600,1
20800,2
208021,2
20810,43
20847,1
20850,1
20886,3
20887,52
21002,6
21006,6
21007,1
21014,4
21053,15
22003,31
22004,6
22221,40
22307,43
23000,38
23003,20
23008,3
23009,7
23015,1
23038,70
23320,10
23460,2
23600,1
24001,1
24002,8
24005,2
24006,57
24014,1
24019,6
24047,1
24048,40
24051,6
24200,5
24240,20
24401,7
24540,4
24640,9
25005,38
25012,16
25018,4
25045,12
25720,5
26006,27
26007,39
26008,22
26016,20
27001,4
27008,1
27015,9
28,16
28000,85
28001,7811
280012,1
28002,4519
28002 ,2
28003,10435
28004,18806
28004 ,49
28005,22046
28006,7744
28006 ,13
28007,18813
28007 ,16
28008,7330
28009,15318
28010,10283
28010 ,15
28011,986
28012,20865
28013,6277
28014,7919
28015,14872
280151,12
28016,3217
280161947331061947331061947331029,8
28017,783
28018,414
28019,1300
28020,6334
28021,449
28022,608
28023,634
28024,333
28025,275
28025 ,11
28026,858
28027,742
